"es","en","fr","de","it","pt","nl","sv","da","fi","no"
"Internacional","International","International","International","Internazionale","Internacional","Internationaal","Internationell","International","Kansainvälinen","Internasjonal"
"Núcleo + Stdlib","Core + stdlib","Noyau + stdlib","Kern + Stdlib","Nucleo + stdlib","Núcleo + stdlib","Kern + stdlib","Kärna + stdlib","Kerne + stdlib","Ydin + stdlib","Kjerne + stdlib"
"Empezar","Get started","Commencer","Loslegen","Inizia","Começar","Aan de slag","Kom igång","Kom i gang","Aloita","Kom i gang"
"Ver ejemplos","See examples","Voir des exemples","Beispiele ansehen","Vedi esempi","Ver exemplos","Voorbeelden bekijken","Se exempel","Se eksempler","Katso esimerkkejä","Se eksempler"
"Versión","Version","Version","Version","Versione","Versão","Versie","Version","Version","Versio","Versjon"
"Licencia","License","Licence","Lizenz","Licenza","Licença","Licentie","Licens","Licens","Lisenssi","Lisens"
"Compila con","Build with","Compile avec","Kompiliert mit","Compila con","Compila com","Bouwt met","Bygger med","Bygger med","Käännetään","Bygges med"
"Copiar","Copy","Copier","Kopieren","Copia","Copiar","Kopiëren","Kopiera","Kopiér","Kopioi","Kopier"
"¿Por qué Logos?","Why Logos?","Pourquoi Logos ?","Warum Logos?","Perché Logos?","Por que Logos?","Waarom Logos?","Varför Logos?","Hvorfor Logos?","Miksi Logos?","Hvorfor Logos?"
"Indentación y legibilidad","Indentation and readability","Indentation et lisibilité","Einrückung und Lesbarkeit","Indentazione e leggibilità","Indentação e legibilidade","Inspringing en leesbaarheid","Indentering och läsbarhet","Indrykning og læsbarhed","Sisennys ja luettavuus","Innrykk og lesbarhet"
"Bloques definidos por espacios. Sin llaves ni punto y coma.","Blocks defined by spaces. No braces or semicolons.","Blocs définis par des espaces. Sans accolades ni point-virgule.","Blöcke durch Leerzeichen definiert. Keine Klammern oder Semikolons.","Blocchi definiti dagli spazi. Niente graffe né punto e virgola.","Blocos definidos por espaços. Sem chaves nem ponto e vírgula.","Blokken gedefinieerd door spaties. Geen accolades of puntkomma's.","Block definierade av mellanslag. Inga klamrar eller semikolon.","Blokke defineret af mellemrum. Ingen klammer eller semikolon.","Lohkot määritellään sisennyksellä. Ei aaltosulkeita eikä puolipisteitä.","Blokker definert av mellomrom. Ingen klammer eller semikolon."
"Léxico greco-latino","Greco-Latin lexicon","Lexique gréco-latin","Griechisch-lateinisches Lexikon","Lessico greco-latino","Léxico greco-latino","Grieks-Latijns lexicon","Grekisk-latinskt lexikon","Græsk-latinsk leksikon","Kreikkalais-latinalainen sanasto","Gresk-latinsk leksikon"
"Palabras reservadas en minúsculas, sin acentos ni caracteres especiales.","Lowercase keywords, no accents or special characters.","Mots-clés en minuscules, sans accents ni caractères spéciaux.","Schlüsselwörter in Kleinbuchstaben, ohne Akzente oder Sonderzeichen.","Parole chiave in minuscolo, senza accenti o caratteri speciali.","Palavras-chave em minúsculas, sem acentos nem caracteres especiais.","Trefwoorden in kleine letters, zonder accenten of speciale tekens.","Nyckelord i gemener, utan accenter eller specialtecken.","Nøgleord med små bogstaver, uden accenter eller specialtegn.","Avainsanat pienillä kirjaimilla, ei aksentteja tai erikoismerkkejä.","Nøkkelord i små bokstaver, uten aksenter eller spesialtegn."
"Núcleo estable","Stable core","Noyau stable","Stabiler Kern","Nucleo stabile","Núcleo estável","Stabiele kern","Stabil kärna","Stabil kerne","Vakaa ydin","Stabil kjerne"
"El núcleo es pequeño y explícito. El resto vive en librerías/extensiones.","The core is small and explicit. The rest lives in libraries/extensions.","Le noyau est petit et explicite. Le reste vit dans des bibliothèques/extensions.","Der Kern ist klein und explizit. Der Rest lebt in Bibliotheken/Erweiterungen.","Il nucleo è piccolo ed esplicito. Il resto vive in librerie/estensioni.","O núcleo é pequeno e explícito. O resto vive em bibliotecas/extensões.","De kern is klein en expliciet. De rest zit in bibliotheken/extensies.","Kärnan är liten och explicit. Resten finns i bibliotek/tillägg.","Kernen er lille og eksplicit. Resten ligger i biblioteker/udvidelser.","Ydin on pieni ja selkeä. Loput ovat kirjastoissa/laajennuksissa.","Kjernen er liten og eksplisitt. Resten ligger i biblioteker/utvidelser."
"Minimalista y expresivo","Minimalist and expressive","Minimaliste et expressif","Minimalistisch und ausdrucksstark","Minimalista ed espressivo","Minimalista e expressivo","Minimalistisch en expressief","Minimalistisk och uttrycksfullt","Minimalistisk og udtryksfuld","Minimalistinen ja ilmaisuvoimainen","Minimalistisk og uttrykksfullt"
"Asignación directa, control de flujo claro y una stdlib conceptual.","Direct assignment, clear control flow and a conceptual stdlib.","Affectation directe, contrôle de flux clair et une stdlib conceptuelle.","Direkte Zuweisung, klarer Kontrollfluss und eine konzeptionelle Stdlib.","Assegnazione diretta, controllo di flusso chiaro e una stdlib concettuale.","Atribuição direta, controlo de fluxo claro e uma stdlib conceptual.","Directe toewijzing, duidelijke control flow en een conceptuele stdlib.","Direkt tilldelning, tydligt flöde och en konceptuell stdlib.","Direkte tildeling, klart kontrolflow og en konceptuel stdlib.","Suora sijoitus, selkeä ohjausvirta ja käsitteellinen stdlib.","Direkte tilordning, klar kontrollflyt og en konseptuell stdlib."
"Ejemplos de sintaxis","Syntax examples","Exemples de syntaxe","Syntaxbeispiele","Esempi di sintassi","Exemplos de sintaxe","Syntaxvoorbeelden","Syntaxexempel","Syntakseksempler","Syntaksiesimerkit","Syntakseksempler"
"Hola mundo","Hello world","Bonjour le monde","Hallo Welt","Ciao mondo","Olá mundo","Hallo wereld","Hej världen","Hej verden","Hei maailma","Hei verden"
"Condicionales","Conditionals","Conditionnels","Bedingungen","Condizionali","Condicionais","Conditionals","Villkor","Betingelser","Ehdot","Betingelser"
"Operadores lógicos","Logical operators","Opérateurs logiques","Logische Operatoren","Operatori logici","Operadores lógicos","Logische operatoren","Logiska operatorer","Logiske operatorer","Loogiset operaattorit","Logiske operatorer"
"Bucles: pro + series","Loops: pro + series","Boucles : pro + series","Schleifen: pro + series","Cicli: pro + series","Loops: pro + series","Lussen: pro + series","Loopar: pro + series","Løkker: pro + series","Silmukat: pro + series","Løkker: pro + series"
"Bucles: dum + perge/frange","Loops: dum + perge/frange","Boucles : dum + perge/frange","Schleifen: dum + perge/frange","Cicli: dum + perge/frange","Loops: dum + perge/frange","Lussen: dum + perge/frange","Loopar: dum + perge/frange","Løkker: dum + perge/frange","Silmukat: dum + perge/frange","Løkker: dum + perge/frange"
"Funciones: munus + redit","Functions: munus + redit","Fonctions : munus + redit","Funktionen: munus + redit","Funzioni: munus + redit","Funções: munus + redit","Functies: munus + redit","Funktioner: munus + redit","Funktioner: munus + redit","Funktiot: munus + redit","Funksjoner: munus + redit"
"Más ejemplos","More examples","Plus d’exemples","Mehr Beispiele","Altri esempi","Mais exemplos","Meer voorbeelden","Fler exempel","Flere eksempler","Lisää esimerkkejä","Flere eksempler"
"Literales: verum/falsum/nulla","Literals: verum/falsum/nulla","Littéraux : verum/falsum/nulla","Literale: verum/falsum/nulla","Letterali: verum/falsum/nulla","Literais: verum/falsum/nulla","Literalen: verum/falsum/nulla","Literaler: verum/falsum/nulla","Literaler: verum/falsum/nulla","Literaalit: verum/falsum/nulla","Litteraler: verum/falsum/nulla"
"Entrada/salida: sonus.lege","Input/output: sonus.lege","Entrée/sortie : sonus.lege","Ein-/Ausgabe: sonus.lege","Input/output: sonus.lege","Entrada/saída: sonus.lege","Invoer/uitvoer: sonus.lege","In-/utmatning: sonus.lege","Ind-/uddata: sonus.lege","Syöte/tuloste: sonus.lege","Inn/ut: sonus.lege"
"Excepciones: conare/nisi/denique","Exceptions: conare/nisi/denique","Exceptions : conare/nisi/denique","Ausnahmen: conare/nisi/denique","Eccezioni: conare/nisi/denique","Exceções: conare/nisi/denique","Uitzonderingen: conare/nisi/denique","Undantag: conare/nisi/denique","Undtagelser: conare/nisi/denique","Poikkeukset: conare/nisi/denique","Unntak: conare/nisi/denique"
"Lanzar excepción: iacta","Raise exception: iacta","Lever une exception : iacta","Exception auslösen: iacta","Lancia eccezione: iacta","Lançar exceção: iacta","Exception opwerpen: iacta","Kasta undantag: iacta","Kast undtagelse: iacta","Heitä poikkeus: iacta","Kast unntak: iacta"
"Palabras clave en latín","Keywords in Latin","Mots-clés en latin","Schlüsselwörter auf Latein","Parole chiave in latino","Palavras-chave em latim","Sleutelwoorden in het Latijn","Nyckelord på latin","Nøgleord på latin","Avainsanat latinaksi","Nøkkelord på latin"
"Palabra clave Logos","Logos keyword","Mot-clé Logos","Logos-Schlüsselwort","Parola chiave Logos","Palavra-chave Logos","Logos-trefwoord","Logos-nyckelord","Logos-nøgleord","Logos-avainsana","Logos-nøkkelord"
"Equivalente","Equivalent","Équivalent","Entsprechung","Equivalente","Equivalente","Equivalent","Motsvarighet","Tilsvarende","Vastine","Tilsvarende"
"Uso","Usage","Usage","Verwendung","Uso","Uso","Gebruik","Användning","Brug","Käyttö","Bruk"
"Condicional","Conditional","Conditionnel","Bedingung","Condizionale","Condicional","Voorwaarde","Villkor","Betingelse","Ehto","Betingelse"
"Condición encadenada","Chained condition","Condition enchaînée","Verkettete Bedingung","Condizione concatenata","Condição encadeada","Gekoppelde voorwaarde","Kedjat villkor","Kædet betingelse","Ketjutettu ehto","Kjedet betingelse"
"Alternativa final","Final alternative","Alternative finale","Letzte Alternative","Alternativa finale","Alternativa final","Laatste alternatief","Slutligt alternativ","Endelig alternativ","Lopullinen vaihtoehto","Siste alternativ"
"Iteración","Iteration","Itération","Iteration","Iterazione","Iteração","Iteratie","Iteration","Iteration","Iteraatio","Iterasjon"
"Bucle condicionado","Conditional loop","Boucle conditionnelle","Bedingte Schleife","Ciclo condizionato","Loop condicionado","Voorwaardelijke lus","Villkorsstyrd loop","Betinget løkke","Ehdollinen silmukka","Betinget løkke"
"Interrumpe bucle","Break loop","Interrompt la boucle","Schleife abbrechen","Interrompe il ciclo","Interrompe o loop","Breekt lus","Avbryter loop","Afbryder løkke","Keskeyttää silmukan","Avbryter løkke"
"Siguiente iteración","Next iteration","Itération suivante","Nächste Iteration","Iterazione successiva","Próxima iteração","Volgende iteratie","Nästa iteration","Næste iteration","Seuraava iterointi","Neste iterasjon"
"Definir función","Define function","Définir une fonction","Funktion definieren","Definire funzione","Definir função","Functie definiëren","Definiera funktion","Definér funktion","Määritä funktio","Definer funksjon"
"Devolver valor","Return value","Retourner une valeur","Wert zurückgeben","Restituire valore","Devolver valor","Waarde retourneren","Returnera värde","Returnér værdi","Palauta arvo","Returner verdi"
"Bloque de intento","Try block","Bloc try","Try-Block","Blocco try","Bloco try","Try-blok","Try-block","Try-blok","Try-lohko","Try-blokk"
"Captura excepción","Catch exception","Intercepter une exception","Exception abfangen","Cattura eccezione","Capturar exceção","Exception opvangen","Fånga undantag","Fang undtagelse","Ota poikkeus kiinni","Fang unntak"
"Siempre se ejecuta","Always executed","Toujours exécuté","Wird immer ausgeführt","Sempre eseguito","Sempre executado","Wordt altijd uitgevoerd","Körs alltid","Køres altid","Suoritetaan aina","Kjøres alltid"
"Lanza excepción","Raise exception","Lève une exception","Wirft eine Exception","Lancia eccezione","Lança exceção","Werpt een exception","Kastar undantag","Kaster undtagelse","Heittää poikkeuksen","Kaster unntak"
"Importar módulo (estándar internacional)","Import module (international standard)","Importer un module (standard international)","Modul importieren (internationaler Standard)","Importa modulo (standard internazionale)","Importar módulo (padrão internacional)","Module importeren (internationale standaard)","Importera modul (internationell standard)","Importér modul (international standard)","Tuo moduuli (kansainvälinen standardi)","Importer modul (internasjonal standard)"
"Literal booleano","Boolean literal","Littéral booléen","Boolesches Literal","Letterale booleano","Literal booleano","Booleaanse literal","Boolesk literal","Boolsk literal","Boolen literaali","Boolsk literal"
"Ausencia de valor","Absence of value","Absence de valeur","Fehlender Wert","Assenza di valore","Ausência de valor","Afwezigheid van waarde","Avsaknad av värde","Fravær af værdi","Arvon puuttuminen","Fravær av verdi"
"AND lógico","Logical AND","ET logique","Logisches UND","AND logico","AND lógico","Logische AND","Logiskt AND","Logisk AND","Looginen AND","Logisk AND"
"OR lógico","Logical OR","OU logique","Logisches ODER","OR logico","OR lógico","Logische OR","Logiskt OR","Logisk OR","Looginen OR","Logisk OR"
"NOT lógico","Logical NOT","NON logique","Logisches NICHT","NOT logico","NOT lógico","Logische NOT","Logiskt NOT","Logisk NOT","Looginen NOT","Logisk NOT"
"Núcleo de Logos","Logos Core","Noyau de Logos","Logos-Kern","Nucleo di Logos","Núcleo do Logos","Logos-kern","Logos-kärna","Logos-kerne","Logos-ydin","Logos-kjerne"
"Resumen práctico del documento: literales, control de flujo, funciones, excepciones y módulos.","Practical summary of the document: literals, control flow, functions, exceptions and modules.","Résumé pratique du document : littéraux, contrôle de flux, fonctions, exceptions et modules.","Praktische Zusammenfassung des Dokuments: Literale, Kontrollfluss, Funktionen, Ausnahmen und Module.","Riepilogo pratico del documento: letterali, flusso di controllo, funzioni, eccezioni e moduli.","Resumo prático do documento: literais, fluxo de controlo, funções, exceções e módulos.","Praktische samenvatting van het document: literalen, control flow, functies, uitzonderingen en modules.","Praktisk sammanfattning av dokumentet: literaler, kontrollflöde, funktioner, undantag och moduler.","Praktisk resumé af dokumentet: litteraler, kontrolflow, funktioner, undtagelser og moduler.","Asiakirjan käytännön yhteenveto: literaalit, ohjausvirta, funktiot, poikkeukset ja moduulit.","Praktisk sammendrag av dokumentet: litteraler, kontrollflyt, funksjoner, unntak og moduler."
"Instalar","Install","Installer","Installieren","Installa","Instalar","Installeren","Installera","Installer","Asenna","Installer"
"Docs","Docs","Docs","Docs","Docs","Docs","Docs","Docs","Docs","Docs","Docs"
"Principios","Principles","Principes","Prinzipien","Principi","Princípios","Principes","Principer","Principper","Periaatteet","Prinsipper"
"Indentación como delimitador de bloque","Indentation as block delimiter","Indentation comme délimiteur de bloc","Einrückung als Blockbegrenzer","Indentazione come delimitatore di blocco","Indentação como delimitador de bloco","Inspringing als blokafbakening","Indentering som blockavgränsare","Indrykning som blokafgrænser","Sisennys lohkorajana","Innrykk som blokkavgrenser"
"Reservadas en minúsculas (sin acentos)","Keywords in lowercase (no accents)","Mots-clés en minuscules (sans accents)","Schlüsselwörter in Kleinbuchstaben (ohne Akzente)","Parole chiave in minuscolo (senza accenti)","Palavras-chave em minúsculas (sem acentos)","Trefwoorden in kleine letters (zonder accenten)","Nyckelord i gemener (utan accenter)","Nøgleord med små bogstaver (uden accenter)","Avainsanat pienillä kirjaimilla (ei aksentteja)","Nøkkelord i små bokstaver (uten aksenter)"
"Asignación directa (sin declaración)","Direct assignment (no declaration)","Affectation directe (sans déclaration)","Direkte Zuweisung (ohne Deklaration)","Assegnazione diretta (senza dichiarazione)","Atribuição direta (sem declaração)","Directe toewijzing (zonder declaratie)","Direkt tilldelning (ingen deklaration)","Direkte tildeling (ingen deklaration)","Suora sijoitus (ei deklarointia)","Direkte tilordning (ingen deklarasjon)"
"Núcleo estable + librerías/extensiones","Stable core + libraries/extensions","Noyau stable + bibliothèques/extensions","Stabiler Kern + Bibliotheken/Erweiterungen","Nucleo stabile + librerie/estensioni","Núcleo estável + bibliotecas/extensões","Stabiele kern + bibliotheken/extensies","Stabil kärna + bibliotek/tillägg","Stabil kerne + biblioteker/udvidelser","Vakaa ydin + kirjastot/laajennukset","Stabil kjerne + biblioteker/utvidelser"
"Literales","Literals","Littéraux","Literale","Letterali","Literais","Literalen","Literaler","Litteraler","Literaalit","Litteraler"
"Bucles","Loops","Boucles","Schleifen","Cicli","Loops","Lussen","Loopar","Løkker","Silmukat","Løkker"
"Funciones","Functions","Fonctions","Funktionen","Funzioni","Funções","Functies","Funktioner","Funktioner","Funktiot","Funksjoner"
"Excepciones","Exceptions","Exceptions","Ausnahmen","Eccezioni","Exceções","Uitzonderingen","Undantag","Undtagelser","Poikkeukset","Unntak"
"Módulos","Modules","Modules","Module","Moduli","Módulos","Modules","Moduler","Moduler","Moduulit","Moduler"
"Nota","Note","Note","Hinweis","Nota","Nota","Opmerking","Not","Note","Huom","Merk"
"se mantiene por estándar internacional.","is kept as an international standard.","est conservé comme standard international.","wird als internationaler Standard beibehalten.","si mantiene come standard internazionale.","mantém-se como padrão internacional.","blijft behouden als internationale standaard.","behålls som internationell standard.","beholdes som international standard.","säilytetään kansainvälisenä standardina.","beholdes som internasjonal standard."
"Resumen del núcleo","Core summary","Résumé du noyau","Kernzusammenfassung","Riepilogo del nucleo","Resumo do núcleo","Kernsamen­vatting","Kärnsammanfattning","Kernesammenfatning","Ytimen yhteenveto","Kjernesammendrag"
"Reservadas","Keywords","Mots-clés","Schlüsselwörter","Parole chiave","Palavras-chave","Trefwoorden","Nyckelord","Nøgleord","Avainsanat","Nøkkelord"
"Lógicos","Logical","Logiques","Logisch","Logici","Lógicos","Logisch","Logiska","Logiske","Loogiset","Logiske"
"Quickstart","Quickstart","Démarrage rapide","Quickstart","Quickstart","Quickstart","Snelstart","Snabbstart","Hurtigstart","Pika-aloitus","Hurtigstart"
"Programa mínimo y estructura típica. Ideal para la primera ejecución.","Minimal program and typical structure. Ideal for the first run.","Programme minimal et structure typique. Idéal pour la première exécution.","Minimales Programm und typische Struktur. Ideal für den ersten Lauf.","Programma minimo e struttura tipica. Ideale per la prima esecuzione.","Programa mínimo e estrutura típica. Ideal para a primeira execução.","Minimaal programma en typische structuur. Ideaal voor de eerste uitvoering.","Minimalt program och typisk struktur. Idealisk för första körningen.","Minimalt program og typisk struktur. Ideelt til første kørsel.","Minimiohjelma ja tyypillinen rakenne. Ihanteellinen ensimmäiseen ajokertaan.","Minimalt program og typisk struktur. Ideelt for første kjøring."
"Importa librerías","Import libraries","Importer des bibliothèques","Bibliotheken importieren","Importa librerie","Importar bibliotecas","Bibliotheken importeren","Importera bibliotek","Importér biblioteker","Tuo kirjastot","Importer biblioteker"
"Define","Define","Définir","Definieren","Definisci","Definir","Definieer","Definiera","Definér","Määritä","Definer"
"Usa","Use","Utiliser","Verwenden","Usa","Usar","Gebruik","Använd","Brug","Käytä","Bruk"
"y","and","et","und","e","e","en","och","og","ja","og"
"¿Por qué palabras greco-latinas?","Why Greco-Latin words?","Pourquoi des mots gréco-latins ?","Warum griechisch-lateinische Wörter?","Perché parole greco-latine?","Por que palavras greco-latinas?","Waarom Grieks-Latijnse woorden?","Varför grekisk-latinska ord?","Hvorfor græsk-latinske ord?","Miksi kreikka-latinalaiset sanat?","Hvorfor gresk-latinske ord?"
"Para lograr un léxico distintivo, consistente y sin dependencia total del inglés, manteniendo legibilidad.","To achieve a distinctive, consistent lexicon without total dependence on English, while keeping readability.","Pour obtenir un lexique distinctif et cohérent sans dépendre entièrement de l’anglais, tout en gardant la lisibilité.","Um ein unverwechselbares, konsistentes Lexikon ohne vollständige Abhängigkeit vom Englischen zu erreichen und dabei lesbar zu bleiben.","Per ottenere un lessico distintivo e coerente senza dipendere totalmente dall’inglese, mantenendo la leggibilità.","Para obter um léxico distintivo e consistente sem dependência total do inglês, mantendo a legibilidade.","Om een onderscheidend, consistent lexicon te krijgen zonder volledige afhankelijkheid van het Engels, met behoud van leesbaarheid.","För att få ett särskiljande, konsekvent lexikon utan total beroende av engelska, med bibehållen läsbarhet.","For at opnå et særpræget, konsekvent leksikon uden total afhængighed af engelsk, og samtidig bevare læsbarhed.","Jotta saadaan omaleimainen ja johdonmukainen sanasto ilman täydellistä riippuvuutta englannista, säilyttäen luettavuuden.","For å oppnå et særpreget og konsistent leksikon uten total avhengighet av engelsk, samtidig som lesbarheten bevares."
"¿Por qué import está en inglés?","Why is import in English?","Pourquoi import est en anglais ?","Warum ist import auf Englisch?","Perché import è in inglese?","Por que import está em inglês?","Waarom is import in het Engels?","Varför är import på engelska?","Hvorfor er import på engelsk?","Miksi import on englanniksi?","Hvorfor er import på engelsk?"
"Se conserva por ser un estándar internacional consolidado y familiar para la mayoría de programadores.","It is kept because it is an established international standard and familiar to most programmers.","Il est conservé car c’est un standard international établi et familier à la plupart des programmeurs.","Es wird beibehalten, da es ein etablierter internationaler Standard ist und den meisten Programmierern vertraut ist.","Si mantiene perché è uno standard internazionale consolidato e familiare alla maggior parte dei programmatori.","Mantém-se por ser um padrão internacional consolidado e familiar para a maioria dos programadores.","Het blijft behouden omdat het een gevestigde internationale standaard is en voor de meeste programmeurs vertrouwd.","Det behålls eftersom det är en etablerad internationell standard och bekant för de flesta programmerare.","Det bevares, fordi det er en veletableret international standard og velkendt for de fleste programmører.","Se säilytetään, koska se on vakiintunut kansainvälinen standardi ja tuttu useimmille ohjelmoijille.","Det beholdes fordi det er en etablert internasjonal standard og kjent for de fleste programmerere."
"¿Hay declaración de variables?","Is there variable declaration?","Y a-t-il une déclaration de variables ?","Gibt es Variablendeklarationen?","Esiste la dichiarazione delle variabili?","Há declaração de variáveis?","Is er variabele declaratie?","Finns variabeldeklaration?","Er der variabeldeklaration?","Onko muuttujien deklarointia?","Finnes variabeldeklarasjon?"
"No. Una variable existe al asignarle un valor:","No. A variable exists when you assign it a value:","Non. Une variable existe quand on lui assigne une valeur :","Nein. Eine Variable existiert, sobald ihr ein Wert zugewiesen wird:","No. Una variabile esiste quando le assegni un valore:","Não. Uma variável existe quando lhe atribuis um valor:","Nee. Een variabele bestaat zodra je er een waarde aan toekent:","Nej. En variabel finns när du tilldelar den ett värde:","Nej. En variabel findes, når du tildeler den en værdi:","Ei. Muuttuja on olemassa, kun sille annetaan arvo:","Nei. En variabel finnes når du tilordner den en verdi:"
"¿Dónde está la librería estándar?","Where is the standard library?","Où est la bibliothèque standard ?","Wo ist die Standardbibliothek?","Dov’è la libreria standard?","Onde está a biblioteca padrão?","Waar is de standaardbibliotheek?","Var är standardbiblioteket?","Hvor er standardbiblioteket?","Missä on standardikirjasto?","Hvor er standardbiblioteket?"
"El núcleo define el lenguaje. La stdlib se modela como módulos (por ejemplo sonus y series).","The core defines the language. The stdlib is modeled as modules (for example sonus and series).","Le noyau définit le langage. La stdlib est modélisée comme des modules (par exemple sonus et series).","Der Kern definiert die Sprache. Die Stdlib wird als Module modelliert (z. B. sonus und series).","Il nucleo definisce il linguaggio. La stdlib è modellata come moduli (per esempio sonus e series).","O núcleo define a linguagem. A stdlib é modelada como módulos (por exemplo sonus e series).","De kern definieert de taal. De stdlib wordt gemodelleerd als modules (bijvoorbeeld sonus en series).","Kärnan definierar språket. Stdbibblan modelleras som moduler (t.ex. sonus och series).","Kernen definerer sproget. Stdbibblan modelleres som moduler (fx sonus og series).","Ydin määrittelee kielen. Stdkirjasto mallinnetaan moduuleina (esim. sonus ja series).","Kjernen definerer språket. Stdbiblioteket modelleres som moduler (for eksempel sonus og series)."
"Obtén Logos","Get Logos","Obtenir Logos","Logos holen","Ottieni Logos","Obter Logos","Krijg Logos","Hämta Logos","Få Logos","Hanki Logos","Få Logos"
"Descarga la última versión o compílala desde el código fuente","Download the latest version or build it from source","Téléchargez la dernière version ou compilez-la depuis le code source","Laden Sie die neueste Version herunter oder bauen Sie sie aus dem Quellcode","Scarica l’ultima versione o compilala dal codice sorgente","Baixe a versão mais recente ou compile a partir do código-fonte","Download de nieuwste versie of bouw vanaf de broncode","Ladda ner senaste versionen eller bygg från källkoden","Download den nyeste version eller byg fra kildekoden","Lataa uusin versio tai käännä lähdekoodista","Last ned siste versjon eller bygg fra kildekoden"
"Versión actual: 0.1.0","Current version: 0.1.0","Version actuelle : 0.1.0","Aktuelle Version: 0.1.0","Versione attuale: 0.1.0","Versão atual: 0.1.0","Huidige versie: 0.1.0","Nuvarande version: 0.1.0","Nuværende version: 0.1.0","Nykyinen versio: 0.1.0","Gjeldende versjon: 0.1.0"
"Requisitos: compilador C (GCC/Clang), Make","Requirements: C compiler (GCC/Clang), Make","Prérequis : compilateur C (GCC/Clang), Make","Voraussetzungen: C-Compiler (GCC/Clang), Make","Requisiti: compilatore C (GCC/Clang), Make","Requisitos: compilador C (GCC/Clang), Make","Vereisten: C-compiler (GCC/Clang), Make","Krav: C-kompilator (GCC/Clang), Make","Krav: C-compiler (GCC/Clang), Make","Vaatimukset: C-kääntäjä (GCC/Clang), Make","Krav: C-kompilator (GCC/Clang), Make"
"Código fuente","Source code","Code source","Quellcode","Codice sorgente","Código-fonte","Broncode","Källkod","Kildekode","Lähdekoodi","Kildekode"
"Descargar binario","Download binary","Télécharger le binaire","Binärdatei herunterladen","Scarica binario","Baixar binário","Binair downloaden","Ladda ner binärfil","Download binær","Lataa binääri","Last ned binær"
"Palabras reservadas, literales y control de flujo.","Keywords, literals and control flow.","Mots-clés, littéraux et contrôle de flux.","Schlüsselwörter, Literale und Kontrollfluss.","Parole chiave, letterali e flusso di controllo.","Palavras-chave, literais e fluxo de controlo.","Trefwoorden, literalen en control flow.","Nyckelord, literaler och kontrollflöde.","Nøgleord, litteraler og kontrolflow.","Avainsanat, literaalit ja ohjausvirta.","Nøkkelord, litteraler og kontrollflyt."
